ID,forest_type,area,region,dominant_c1,dominant_c2,dominant_c3,dominant_b1,dominant_b2,dominant_b3,DB,EB,EC,allC,min_DBH,max_DBH,counts,species
360001,planted,0.1,shikoku,Chamaecyparis obtusa,Abies firma,Betula grossa,Chamaecyparis obtusa,Abies firma,Betula grossa,1.222789798756700,1.049029585577420,23.53286416379320,25.804683548127300,7.5,35.1,28,5
360056,planted,0.1,shikoku,Cryptomeria japonica,,,Cryptomeria japonica,,,0.0,0.0,179.7904085763380,179.7904085763380,19.0,44.5,119,1
360057,natural,0.1,shikoku,Euptelea polyandra,Styrax japonicus,Aesculus turbinata,Acer pictum,Euptelea polyandra,Zelkova serrata,43.970879114480800,0.0,2.7101535043675300,46.68103261884830,7.5,45.3,47,19
360077,natural,0.1,shikoku,Clethra barbinervis,Magnolia obovata,Carpinus japonica,Clethra barbinervis,Magnolia obovata,Carpinus japonica,10.025826002557100,0.0,0.6284040821646410,10.654230084721700,7.5,13.8,36,10
360091,planted,0.1,shikoku,Cryptomeria japonica,Chamaecyparis obtusa,Quercus acuta,Cryptomeria japonica,Chamaecyparis obtusa,Quercus acuta,0.8404791206763990,5.896733083499850,209.83643903066800,216.57365123484400,8.9,49.4,167,7
360188,natural,0.1,shikoku,Quercus glauca,Camellia japonica,Quercus salicina,Quercus glauca,Cerasus jamasakura,Cornus macrophylla,32.65235186896280,41.74042832545740,7.826492420666090,82.21927261508630,7.5,44.7,78,18
370107,natural,0.1,shikoku,Eurya japonica var. japonica,Quercus serrata,Lyonia ovalifolia var. elliptica,Quercus serrata,Eurya japonica var. japonica,Cerasus jamasakura,62.86073638910750,26.070396147967000,2.387407730180900,91.31854026725540,7.5,49.2,86,15
370116,planted,0.1,shikoku,Chamaecyparis obtusa,Pinus x densithunbergii,Styrax japonicus,Chamaecyparis obtusa,Pinus x densithunbergii,Styrax japonicus,3.4955105696624400,0.27824655183970800,57.52273365350160,61.29649077500370,8.0,40.0,77,8
370118,natural,0.1,shikoku,Quercus phillyraeoides,Litsea coreana,Quercus serrata,Quercus phillyraeoides,Litsea coreana,Quercus serrata,11.212420912916900,73.44994115057410,2.860632596238200,87.52299465972920,7.6,30.3,121,8
380028,planted,0.1,shikoku,Castanopsis sieboldii subsp. sieboldii,Chamaecyparis obtusa,Daphniphyllum teijsmannii,Castanopsis sieboldii subsp. sieboldii,Chamaecyparis obtusa,Quercus serrata,28.433280040423900,99.71263312632860,16.637018469330600,144.7829316360830,7.9,58.5,87,13
380046,natural,0.1,shikoku,Quercus serrata,Pinus densiflora,Neolitsea sericea,Pinus densiflora,Quercus serrata,Castanopsis sieboldii subsp. sieboldii,16.336385802881200,10.74937051993230,19.61299937790260,46.698755700716100,7.5,40.1,69,12
380068,natural,0.1,shikoku,Pinus densiflora,Litsea coreana,Machilus thunbergii,Pinus densiflora,Machilus thunbergii,Litsea coreana,7.002173698564890,47.61816891456030,103.48201006534500,158.10235267847000,7.6,58.2,101,17
380069,planted,0.1,shikoku,Cinnamomum camphora,Pinus densiflora,Quercus serrata,Pinus densiflora,Cinnamomum camphora,Quercus serrata,16.72997326564510,19.499238871243600,18.475777433073400,54.70498956996200,7.5,36.3,60,13
380071,planted,0.1,shikoku,Chamaecyparis obtusa,Clethra barbinervis,Cornus macrophylla,Chamaecyparis obtusa,Cornus macrophylla,Betula grossa,5.792755540404950,1.5608002120056900,40.33390048532080,47.687456237731500,7.5,29.5,65,14
380087,planted,0.1,shikoku,Chamaecyparis obtusa,Cryptomeria japonica,,Chamaecyparis obtusa,Cryptomeria japonica,,0.0,0.0,121.03143430660600,121.03143430660600,12.3,34.8,108,2
380088,planted,0.1,shikoku,Cryptomeria japonica,Chamaecyparis obtusa,,Cryptomeria japonica,Chamaecyparis obtusa,,0.0,0.0,68.03218452140950,68.03218452140950,15.6,39.3,60,2
380089,planted,0.1,shikoku,Pinus densiflora,Chamaecyparis obtusa,Ilex pedunculosa,Pinus densiflora,Chamaecyparis obtusa,Sciadopitys verticillata,0.1892522175639980,1.662608555505400,15.191666666303500,17.04352743937290,7.5,29.7,29,9
