ID,area,region,dominant_c1,dominant_c2,dominant_c3,dominant_b1,dominant_b2,dominant_b3,DB,EB,EC,allC,min_DBH,max_DBH,counts,species
K001,0.48,kyushu,Quercus acutissima,Pinus thunbergii,Albizia julibrissin,Quercus acutissima,Pinus thunbergii,Albizia julibrissin,15.855300540111,0.0913535014148679,9.01505130222053,24.9617053437464,10,95,341,9
K002,0.25,kyushu,Quercus acutissima,Pinus thunbergii,Mallotus japonicus,Quercus acutissima,Pinus thunbergii,Vaccinium bracteatum,44.8118897095972,0.0609795524259583,0.868841434790782,45.741710696814,10,25,356,5
K003,0.34,kyushu,Pinus thunbergii,Quercus dentata,Quercus serrata,Pinus thunbergii,Quercus serrata,Quercus acutissima,7.44118814849488,3.2978963614332,113.009517126245,123.748601636173,10,45,465,17
K004,1.02,kyushu,Machilus japonica,Quercus salicina,Castanopsis sieboldii subsp. sieboldii,Quercus salicina,Castanopsis sieboldii subsp. sieboldii,Distylium racemosum,7.06053239006391,95.0446227696089,0.0402932475700529,102.145448407243,10,140,890,53
K005,0.96,kyushu,Machilus japonica,Distylium racemosum,Castanopsis sieboldii subsp. sieboldii,Castanopsis sieboldii subsp. sieboldii,Machilus thunbergii,Machilus japonica,10.1542481202589,173.989833851097,0.0429320495975441,184.187014020953,10,150,951,49
K006,1.12,kyushu,Machilus japonica,Mallotus japonicus,Cleyera japonica,Distylium racemosum,Machilus japonica,Machilus thunbergii,8.85234678849165,131.485401507696,0.0,140.337748296188,10,145,1371,42
K007,1.0,kyushu,Distylium racemosum,Cleyera japonica,Camellia sasanqua,Castanopsis sieboldii subsp. sieboldii,Distylium racemosum,Quercus salicina,1.8365381633686,169.455311337725,0.0,171.291849501093,10,200,1195,33
K008,0.33,kyushu,Pinus thunbergii,Styrax japonicus,Quercus salicina,Pinus thunbergii,Quercus salicina,Styrax japonicus,1.45892745352493,1.06305304400754,75.5870610845145,78.109041582047,10,120,357,14
K009,0.36,kyushu,Pinus densiflora,Pinus thunbergii,Castanopsis sieboldii subsp. sieboldii,Pinus densiflora,Cerasus jamasakura,Castanopsis sieboldii subsp. sieboldii,5.47085944159435,5.58037262990848,40.8315323247251,51.8827643962279,10,90,386,8
K010,1.0,kyushu,Neolitsea sericea,Neolitsea aciculata,Camellia sasanqua,Castanopsis sieboldii subsp. sieboldii,Quercus salicina,Neolitsea sericea,5.56668377005804,148.769739231508,0.387114141726659,154.723537143292,10,185,1530,43
K011,1.01,kyushu,Distylium racemosum,Cleyera japonica,Castanopsis sieboldii subsp. sieboldii,Castanopsis sieboldii subsp. sieboldii,Distylium racemosum,Machilus thunbergii,0.637158394348592,181.97901636577,25.8843650993209,208.50053985944,10,140,1329,48
K012,0.59,kyushu,Illicium anisatum,Pieris japonica subsp. japonica,Camellia japonica,Quercus acuta,Camellia japonica,Abies firma,4.10484968588586,91.856380713252,12.7945181446852,108.755748543823,10,60,1115,25
K013,0.73,kyushu,Camellia sasanqua,Neolitsea aciculata,Daphniphyllum macropodum subsp. macropodum,Abies firma,Camellia sasanqua,Castanopsis sieboldii subsp. sieboldii,3.56369245206137,25.6915211315932,66.2885635549082,95.5437771385628,10,125,603,34
K014,0.5,kyushu,Distylium racemosum,Quercus acuta,Abies firma,Abies firma,Quercus acuta,Distylium racemosum,6.16935086807951,37.7016729045945,24.8892426577835,68.7602664304576,10,60,504,31
K015,0.1,kyushu,Hydrangea paniculata,Pieris japonica subsp. japonica,Symplocos coreana,Fagus crenata,Hydrangea paniculata,Symplocos coreana,57.868104317915,6.16310739912992,0.464593117077274,64.4958048341222,10,45,136,15
K016,0.2,kyushu,Symplocos prunifolia,Quercus glauca,Quercus acuta,Quercus acuta,Quercus glauca,Quercus salicina,0.0,149.51682277661,10.8117322367508,160.32855501336,10,85,159,21
K017,0.3,kyushu,Distylium racemosum,Quercus acuta,Cinnamomum yabunikkei,Distylium racemosum,Quercus acuta,Cinnamomum yabunikkei,0.703735020396174,194.835538028645,0.0500122450234049,195.589285294064,10,110,321,19
