ID,group,Tsuga sieboldii,Abies firma,Castanopsis sieboldii,Pinus densiflora,Fagus crenata,Quercus salicina,Distylium racemosum,Cleyera japonica,Illicium anisatum,Cryptomeria japonica,Symplocos prunifolia,Quercus glauca,Daphniphyllum teijsmannii,Betula grossa,Quercus acuta,Chamaecyparis obtusa,Stewartia monadelpha,Camellia japonica,Pinus thunbergii,Quercus phillyraeoides,Abies homolepis,Morella rubra,Quercus crispula var. crispula,Quercus serrata,Carpinus tschonoskii,Clethra barbinervis,Cerasus jamasakura,Acer pictum,Carpinus laxiflora,Litsea coreana
S001,past,0.0,0.0,3.8464875052390033,0.0,0.0,0.23365595361074087,0.0,0.017671458676442587,0.0,0.0,0.0,0.8482300164692442,0.0,0.0,0.0,0.0,0.0,0.039269908169872414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S002,past,3.583379120500858,0.9071348787240527,0.0,0.0,0.0,0.02552544031041707,0.0,0.05105088062083414,0.04319689898685966,0.0,0.0,0.0,0.0,0.43196898986859655,0.0,1.2036226854065895,0.23561944901923448,0.03337942194439156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S003,past,8.16617740392497,0.40055306333269863,0.0,0.5674501730546564,0.0,1.346957850226624,0.0,0.4810563750809371,0.300414797499524,0.0,0.0,0.0,0.0,0.11388273369263001,0.0,2.6801712325937923,0.0,0.20616701789183017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S004,past,0.28667032964006867,2.0439987202418592,0.0,0.0,0.0,1.097593933347934,0.0,0.1413716694115407,0.06479534848028949,0.0,0.0,0.11191923828413639,0.0,0.09621127501618743,0.0,0.0,0.07068583470577035,0.20616701789183017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S005,past,6.131996160725578,2.238384765682728,0.0,0.0,0.0,0.724529805734146,0.0,0.05497787143782139,0.3828816046562561,0.0,0.0,0.0,0.0,0.6322455215349458,0.0,1.8731746197029142,0.02552544031041707,0.07264933011426397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S006,past,3.754203221039803,4.98335134675681,0.0,0.0,0.0,0.300414797499524,0.0,0.1610066234964769,0.9542587685278997,0.0,0.0,0.0,0.0,0.056941366846315,0.0,0.04908738521234052,0.07068583470577035,1.8751381151114077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S007,past,1.84372218857551,6.848671984825749,0.0,0.0,0.0,0.24936391687868986,0.0,0.45749443017901364,0.16689710972195776,0.0,0.007853981633974483,0.1983130362578557,0.0,0.300414797499524,0.0,0.04908738521234052,0.0,0.11191923828413639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S008,past,5.085453107998478,3.012001956629214,0.0,0.0,0.0,0.05105088062083414,0.0,0.1315541923690726,0.3396847056693964,0.0,0.0,0.0,0.0,0.4928373475318988,0.0,0.0,0.04908738521234052,0.22187498115977916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S009,past,9.915651812892785,4.612250714551515,0.0,0.0,0.0,0.26899887096362607,0.0,0.20616701789183017,0.771653695537993,0.0,0.0,0.0,0.0,0.6577709618453629,1.6355916752751862,0.3043417883165112,0.1511891464540088,0.09032078879070655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S010,past,2.1814433988364126,19.458239498171782,0.0,0.0,0.0,0.12370021073509811,0.0,0.09621127501618743,0.3809181092477624,0.0,0.0,0.0,0.0,0.0,0.0,0.08050331174823845,0.0,0.21205750411731106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S011,past,6.257659866869169,2.175552912610932,0.0,0.0,1.356775327269092,0.0,0.0,0.0,0.2670353755551324,0.0,0.0,0.0,0.0,0.38484510006474965,0.0,0.16493361431346415,0.16886060513045137,0.09228428419920018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S012,past,1.1545353001942489,0.7559457322700439,0.0,0.0,4.388412237983243,0.0,0.0,0.0,1.1839877313216534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200497515844602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S013,past,6.895795874629596,0.4044800541496859,0.0,0.0,0.12762720155208535,0.0,0.0,0.0,0.12566370614359174,0.0,0.0,0.0,0.0,1.6650441064025905,0.0,0.0,0.2925608158655495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S014,past,2.581996462169111,5.034402227377644,0.0,0.0,3.00414797499524,0.017671458676442587,0.0,0.0,1.072068493037517,0.0,0.0,0.0,0.0,0.015707963267948967,0.07853981633974483,0.13744467859455345,0.5242532740677968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S015,past,0.0,3.282964323001334,0.0,0.0,0.2748893571891069,0.0,0.0,0.0,0.3593196597543326,0.0,0.0,0.0,0.0,0.056941366846315004,0.0,0.16689710972195776,0.8187775853418399,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S016,past,7.184429699678159,2.045962215650353,0.0,0.0,1.1250828690668446,0.0,0.0,0.0,0.8757189521881549,0.0,0.0,0.0,0.0,1.382300767579509,0.0,0.5124723016168351,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S017,past,4.924446484502001,0.13351768777756623,0.0,0.0,0.528180264884784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14529866022852794,0.0,0.44964044854503915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S018,past,0.0,0.0,0.0,0.0,1.9634954084936207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1152653920243767,0.0,0.0,0.02356194490192345,0.0,0.0,0.0,9.933323271569227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S019,past,0.12566370614359174,0.0,0.0,0.0,2.670353755551324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10406525665016189,0.0,0.8462665210607505,0.04908738521234052,0.0,0.0,0.0,0.44964044854503915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S020,past,0.9464047868939252,0.0,0.0,0.0,10.604838701274046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266315669758144,0.0,0.0,1.5295629232165306,0.0,0.0,0.0,12.52121021996382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S021,past,0.10210176124166828,7.828456193664066,0.0,0.0,1.5963217671053136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084070449666731,0.0,0.0,0.6047565858160352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S022,past,0.0,0.0,0.0,0.0,4.855724145204724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09621127501618743,0.0,0.0,0.056941366846315004,0.0,0.0,0.0,0.5713771638716436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S023,past,0.19634954084936207,0.0,0.0,0.0,7.164794745593222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08639379797371932,0.0,0.0,0.3141592653589793,0.0,0.0,0.0,3.165154598491717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S024,past,9.143998117354792,0.03337942194439156,0.0,0.0,2.312997591205485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056941366846315,0.0,0.04908738521234052,1.0112001353742146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S025,past,1.6787885742620459,3.685480881742526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6950773746067418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S026,past,15.28777525053133,0.9876381904722913,0.0,0.0,7.8559451293829765,0.0,0.0,0.0,0.08246680715673207,0.0,0.0,0.0,0.0,3.3104532587202447,0.0,1.2154036578575513,0.7539822368615504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
